DIS;Origen;Destino;Modo;c_ref;tv_ref;f_ref;ta_ref;c_0;c_1;c_2;tv_0;tv_1;f_0;f_1;ta_0;ta_1;Obs
1;Temuco;Villarrica;Auto;11000;60;0;0;-1000;-2000;-4000;10;20;2;6;10;20;ok
2;Temuco;Villarrica;Bus;6500;90;0;15;0;2000;4000;-15;-25;2;6;-5;5;ok
3;Temuco;Villarrica;Bus P;11000;90;0;15;0;2000;4000;-15;-25;2;6;-5;5;ok, Servicio Premium
4;Aeropuerto;Villarrica;Auto;6000;45;0;0;-1000;-2000;-3000;10;20;2;6;0;0;ok
5;Loncoche;Villarrica;Auto;5000;35;0;0;-1000;-1500;-2000;10;15;2;6;0;0;ok
6;Loncoche;Villarrica;Bus;2500;50;0;10;0;1000;2000;-10;-15;2;6;0;0;ok
7;Loncoche;Villarrica;Bus P;3500;50;0;10;0;1000;2000;-10;-15;2;6;0;0;ok
8;Temuco;Pucón;Auto;13000;100;0;0;-1000;-2500;-5000;10;20;2;6;10;20;ok
9;Temuco;Pucón;Bus;7000;125;0;15;1000;2500;5000;-15;-25;2;6;-5;5;ok
10;Temuco;Pucón;Bus P;14000;125;0;15;1000;2500;5000;-15;-25;2;6;-5;5;ok, Servicio Premium
11;Aeropuerto;Pucón;Auto;8000;75;0;0;-1000;-2000;-3000;10;20;2;6;0;0;ok
12;Loncoche;Pucón;Auto;6000;60;0;0;-1000;-1500;-2000;10;15;2;6;0;0;ok
13;Loncoche;Pucón;Bus;4000;80;0;10;0;1000;2000;-10;-15;2;6;0;0;ok
14;Loncoche;Pucón;Bus P;5500;80;0;10;0;1000;2000;-10;-15;2;6;0;0;ok
